tweets,sentiments,clean_tweet_wordlist,clean_tweet_sentence
#followfriday @france_inte @pkuchly57 @milipol_paris for being top engaged members in my community this week :),1.0,"['followfriday', 'top', 'engag', 'member', 'commun', 'week', ':)']",followfriday top engag member commun week :)
@lamb2ja hey james! how odd :/ please call our contact centre on 02392441234 and we will be able to assist you :) many thanks!,1.0,"['hey', 'jame', 'odd', ':/', 'pleas', 'call', 'contact', 'centr', '02392441234', 'abl', 'assist', ':)', 'mani', 'thank']",hey jame odd :/ pleas call contact centr 02392441234 abl assist :) mani thank
@despiteofficial we had a listen last night :) as you bleed is an amazing track. when are you in scotland?!,1.0,"['listen', 'last', 'night', ':)', 'bleed', 'amaz', 'track', 'scotland']",listen last night :) bleed amaz track scotland
@97sides congrats :),1.0,"['congrat', ':)']",congrat :)
yeaaaah yippppy!!!  my accnt verified rqst has succeed got a blue tick mark on my fb profile :) in 15 days,1.0,"['yeaaah', 'yipppi', 'accnt', 'verifi', 'rqst', 'succeed', 'got', 'blue', 'tick', 'mark', 'fb', 'profil', ':)', '15', 'day']",yeaaah yipppi accnt verifi rqst succeed got blue tick mark fb profil :) 15 day
"@bhaktisbanter @pallaviruhail this one is irresistible :)
#flipkartfashionfriday http://t.co/ebz0l2venm",1.0,"['one', 'irresist', ':)', 'flipkartfashionfriday']",one irresist :) flipkartfashionfriday
we don't like to keep our lovely customers waiting for long! we hope you enjoy! happy friday! - lwwf :) https://t.co/smyyriipxi,1.0,"['like', 'keep', 'love', 'custom', 'wait', 'long', 'hope', 'enjoy', 'happi', 'friday', 'lwwf', ':)']",like keep love custom wait long hope enjoy happi friday lwwf :)
"@impatientraider on second thought, there’s just not enough time for a dd :) but new shorts entering system. sheep must be buying.",1.0,"['second', 'thought', '’', 'enough', 'time', 'dd', ':)', 'new', 'short', 'enter', 'system', 'sheep', 'must', 'buy']",second thought ’ enough time dd :) new short enter system sheep must buy
"jgh , but we have to go to bayan :d bye",1.0,"['jgh', 'go', 'bayan', ':d', 'bye']",jgh go bayan :d bye
"as an act of mischievousness, am calling the etl layer of our in-house warehousing app katamari.

well… as the name implies :p.",1.0,"['act', 'mischiev', 'call', 'etl', 'layer', 'in-hous', 'wareh', 'app', 'katamari', 'well', '…', 'name', 'impli', ':p']",act mischiev call etl layer in-hous wareh app katamari well … name impli :p
#followfriday @wncer1 @defense_gouv for being top influencers in my community this week :),1.0,"['followfriday', 'top', 'influenc', 'commun', 'week', ':)']",followfriday top influenc commun week :)
who wouldn't love these big....juicy....selfies :) - http://t.co/qvzjgd1ufo http://t.co/owbl11eqry,1.0,"['love', 'big', '...', 'juici', '...', 'selfi', ':)']",love big ... juici ... selfi :)
@mish23615351  follow @jnlazts &amp; http://t.co/rcvcyyo0iq follow u back :),1.0,['follow'],follow
"@jjulieredburn perfect, so you already know what's waiting for you :)",1.0,"['perfect', 'alreadi', 'know', ""what'"", 'wait', ':)']",perfect alreadi know what' wait :)
great new opportunity for junior triathletes aged 12 and 13 at the gatorade series! get your entries in :) http://t.co/of3dyozml0,1.0,"['great', 'new', 'opportun', 'junior', 'triathlet', 'age', '12', '13', 'gatorad', 'seri', 'get', 'entri', ':)']",great new opportun junior triathlet age 12 13 gatorad seri get entri :)
laying out a greetings card range for print today - love my job :-),1.0,"['lay', 'greet', 'card', 'rang', 'print', 'today', 'love', 'job', ':-)']",lay greet card rang print today love job :-)
"friend's lunch... yummmm :)
#nostalgia #tbs #ku.",1.0,"[""friend'"", 'lunch', '...', 'yummm', ':)', 'nostalgia', 'tb', 'ku']",friend' lunch ... yummm :) nostalgia tb ku
@rookiesenpai @arcadester it is the id conflict thanks for the help :d here's the screenshot of it working,1.0,"['id', 'conflict', 'thank', 'help', ':d', ""here'"", 'screenshot', 'work']",id conflict thank help :d here' screenshot work
@oohdawg_ hi liv :)),1.0,"['hi', 'liv', ':)']",hi liv :)
hello i need to know something can u fm me on twitter?? — sure thing :) dm me x http://t.co/w6dy130bv7,1.0,"['hello', 'need', 'know', 'someth', 'u', 'fm', 'twitter', '—', 'sure', 'thing', ':)', 'dm', 'x']",hello need know someth u fm twitter — sure thing :) dm x
#followfriday @mbandscott_ @eric_fle @pointsolutions3 for being top new followers in my community this week :),1.0,"['followfriday', 'top', 'new', 'follow', 'commun', 'week', ':)']",followfriday top new follow commun week :)
"@rossbreadmore i've heard the four seasons is pretty dope. penthouse, obvs #gobigorgohome
have fun y'all :)",1.0,"[""i'v"", 'heard', 'four', 'season', 'pretti', 'dope', 'penthous', 'obv', 'gobigorgohom', 'fun', ""y'all"", ':)']",i'v heard four season pretti dope penthous obv gobigorgohom fun y'all :)
@gculloty87 yeah i suppose she was lol! chat in a bit just off out x :)),1.0,"['yeah', 'suppos', 'lol', 'chat', 'bit', 'x', ':)']",yeah suppos lol chat bit x :)
hello :) get youth job opportunities follow &gt;&gt; @tolajobjobs @maphisa301,1.0,"['hello', ':)', 'get', 'youth', 'job', 'opportun', 'follow']",hello :) get youth job opportun follow
💅🏽💋 - :)))) haven't seen you in years,1.0,"['💅🏽', '💋', ':)', 'seen', 'year']",💅🏽 💋 :) seen year
@bosslogic @amellywood @cw_arrow @arrowwriters thank you! :-),1.0,"['thank', ':-)']",thank :-)
@johngutierrez1 hope the rest of your night goes by quickly... i am off to bed... got my music fix and now it is time to dream  :),1.0,"['hope', 'rest', 'night', 'goe', 'quickli', '...', 'bed', '...', 'got', 'music', 'fix', 'time', 'dream', ':)']",hope rest night goe quickli ... bed ... got music fix time dream :)
"spiritual ritual festival (népal)
beginning of line-up :)
it is left for the line-up (y)
see more at:... http://t.co/qmnz62oeuc",1.0,"['spiritu', 'ritual', 'festiv', 'népal', 'begin', 'line-up', ':)', 'left', 'line-up', 'see', '...']",spiritu ritual festiv népal begin line-up :) left line-up see ...
@ke7zum hey sarah! send us an email at bitsy@bitdefender.com and we'll help you asap :),1.0,"['hey', 'sarah', 'send', 'us', 'email', 'bitsy@bitdefender.com', ""we'll"", 'help', 'asap', ':)']",hey sarah send us email bitsy@bitdefender.com we'll help asap :)
@izzkamilhalda lols. :d,1.0,"['lol', ':d']",lol :d
my kik - hatessuce32429 #kik #kikme #lgbt #tinder #nsfw #akua #cumshot :) http://t.co/tnhjd36yzf,1.0,"['kik', 'hatessuc', '32429', 'kik', 'kikm', 'lgbt', 'tinder', 'nsfw', 'akua', 'cumshot', ':)']",kik hatessuc 32429 kik kikm lgbt tinder nsfw akua cumshot :)
@kalinwhite come to my house :))))),1.0,"['come', 'hous', ':)']",come hous :)
"#nsn_supplements, effective press release distribution with results! :) [link removed] #pressrelease #newsdistribution",1.0,"['nsn_supplement', 'effect', 'press', 'releas', 'distribut', 'result', ':)', 'link', 'remov', 'pressreleas', 'newsdistribut']",nsn_supplement effect press releas distribut result :) link remov pressreleas newsdistribut
"hi bam ! @barsandmelody 
can you follow my bestfriend @969horan696 ? 
she loves you a lot :) 
see you in warsaw &lt;3 
love you &lt;3 x46",1.0,"['hi', 'bam', 'follow', 'bestfriend', 'love', 'lot', ':)', 'see', 'warsaw', '<3', 'love', '<3', 'x46']",hi bam follow bestfriend love lot :) see warsaw <3 love <3 x46
everyone watch the documentary earthlings on youtube :-),1.0,"['everyon', 'watch', 'documentari', 'earthl', 'youtub', ':-)']",everyon watch documentari earthl youtub :-)
@jamiefigsxx  follow @jnlazts &amp; http://t.co/rcvcyyo0iq follow u back :),1.0,['follow'],follow
#followfriday @michelbauza @invataonline for being top supports in my community this week :),1.0,"['followfriday', 'top', 'support', 'commun', 'week', ':)']",followfriday top support commun week :)
buuuuuuuut oh well :-),1.0,"['buuut', 'oh', 'well', ':-)']",buuut oh well :-)
@leisuremarkltd @noshandquaff @aktarislam @keanebrands @heritagesilver i am looking forward to visiting next week #letsgetmessy jo :-),1.0,"['look', 'forward', 'visit', 'next', 'week', 'letsgetmessi', 'jo', ':-)']",look forward visit next week letsgetmessi jo :-)
@sehunshinedaily if it makes u feel better i never have nor will see anyone in kpop in the flesh :d,1.0,"['make', 'u', 'feel', 'better', 'never', 'see', 'anyon', 'kpop', 'flesh', ':d']",make u feel better never see anyon kpop flesh :d
"@joyster2012 @cathstaincliffe good for you, girl!! best wishes :-)",1.0,"['good', 'girl', 'best', 'wish', ':-)']",good girl best wish :-)
@_kimimi a great enough reason to listen to one epic soundtrack. :d,1.0,"['great', 'enough', 'reason', 'listen', 'one', 'epic', 'soundtrack', ':d']",great enough reason listen one epic soundtrack :d
@aquadesigngroup thank you for the shout out. have a great friday :),1.0,"['thank', 'shout', 'great', 'friday', ':)']",thank shout great friday :)
i added a video to a @youtube playlist http://t.co/yzpfsmxuq0 im back on twitch and today it going to be league :) - 1 / 4,1.0,"['ad', 'video', 'playlist']",ad video playlist
would love to see you dear in #jordan :) waiting you! @firdoz  :) @visitjordan @dannyprol,1.0,"['would', 'love', 'see', 'dear', 'jordan', ':)', 'wait', ':)']",would love see dear jordan :) wait :)
"@abnormal_ana92 oh, okay :d thanks!",1.0,"['oh', 'okay', ':d', 'thank']",oh okay :d thank
"@sssniperwolf like how to fake gameplays ;) haha im kidding, im kidding. you do good stuff :).",1.0,"['like', 'fake', 'gameplay', ';)', 'haha', 'im', 'kid', 'im', 'kid', 'good', 'stuff', ':)']",like fake gameplay ;) haha im kid im kid good stuff :)
"@dennislami @dicle_aygur, yeah exactly :)",1.0,"['yeah', 'exactli', ':)']",yeah exactli :)
our new product line is in our #etsy shop now! check it out :) http://t.co/h8exctlqxg #boxroomcrafts,1.0,"['new', 'product', 'line', 'etsi', 'shop', 'check', ':)']",new product line etsi shop check :)
@peakyourmind i hope your vacation is going great! :d,1.0,"['hope', 'vacat', 'go', 'great', ':d']",hope vacat go great :d
@groovinshawn they are rechargeable and it normally comes with a charger when u buy it :),1.0,"['recharg', 'normal', 'come', 'charger', 'u', 'buy', ':)']",recharg normal come charger u buy :)
#followfriday @france_espana @reglisse_menthe @cci_inter for being top engaged members in my community this week :),1.0,"['followfriday', 'top', 'engag', 'member', 'commun', 'week', ':)']",followfriday top engag member commun week :)
well she's asleep and i have no one to talk to sooo someone text me :),1.0,"['well', 'asleep', 'one', 'talk', 'sooo', 'someon', 'text', ':)']",well asleep one talk sooo someon text :)
"@brynybrath @smallcappy yes, i suppose. i bet he'll have a blue fit after hearing her speech today. pity :-)",1.0,"['ye', 'suppos', 'bet', ""he'll"", 'blue', 'fit', 'hear', 'speech', 'today', 'piti', ':-)']",ye suppos bet he'll blue fit hear speech today piti :-)
"green gardens, midnight sun, beautiful canals dasvidaniya till next visit.:)",1.0,"['green', 'garden', 'midnight', 'sun', 'beauti', 'canal', 'dasvidaniya', 'till', 'next', 'visit', ':)']",green garden midnight sun beauti canal dasvidaniya till next visit :)
@keithrparsons are you scouting sg for a future wlan pros conference here in asia? :),1.0,"['scout', 'sg', 'futur', 'wlan', 'pro', 'confer', 'asia', ':)']",scout sg futur wlan pro confer asia :)
"@cecilie_hell @420evilangel @wazimotometal @durooooooo @spigranty good for u, better change it to lollipop 🍭 :).",1.0,"['good', 'u', 'better', 'chang', 'lollipop', '🍭', ':)']",good u better chang lollipop 🍭 :)
we &lt;3 u nez :) #agnezmo https://t.co/cgvimhsinz,1.0,"['<3', 'u', 'nez', ':)', 'agnezmo']",<3 u nez :) agnezmo
@littlemix follow me please :)  this is my big dream :),1.0,"['follow', 'pleas', ':)', 'big', 'dream', ':)']",follow pleas :) big dream :)
@elemaaan  oley be :d,1.0,"['oley', ':d']",oley :d
"""@cowokaddict: mama is the only reason why i stand stronger up to now! :)""",1.0,"['mama', 'reason', 'stand', 'stronger', ':)']",mama reason stand stronger :)
@macatangayapril  follow @jnlazts &amp; http://t.co/rcvcyyo0iq follow u back :),1.0,['follow'],follow
"@tk_kjk_kndr @boukendreamer oh my god misty, my baby is so cute!!! :d",1.0,"['oh', 'god', 'misti', 'babi', 'cute', ':d']",oh god misti babi cute :d
"@bhaktisbanter 

i love blue :)
#flipkartfashionfriday http://t.co/hnbinh35es",1.0,"['love', 'blue', ':)', 'flipkartfashionfriday']",love blue :) flipkartfashionfriday
"@carcassdrop woohoo! can't wait :) have you signed up yet, or still thinking about it? mka",1.0,"['woohoo', ""can't"", 'wait', ':)', 'sign', 'yet', 'still', 'think', 'mka']",woohoo can't wait :) sign yet still think mka
i have liam access now :)),1.0,"['liam', 'access', ':)']",liam access :)
@syuhxdxtengku most welcome :),1.0,"['welcom', ':)']",welcom :)
stats for the day have arrived. 1 new follower and no unfollowers :) via http://t.co/p6k6sih58a.,1.0,"['stat', 'day', 'arriv', '1', 'new', 'follow', 'unfollow', ':)', 'via']",stat day arriv 1 new follow unfollow :) via
@sluttywife2 you shouldn't be surprised...you have an amazing figure :),1.0,"['surpris', '...', 'amaz', 'figur', ':)']",surpris ... amaz figur :)
